,Name,Status,Province,PopulationCensus1981-03-01,PopulationCensus1991-03-01,PopulationCensus2001-11-01,PopulationCensus2011-11-01,PopulationEstimate2021-01-01,Unnamed: 8
892,Vidreres (Vidreras),Municipality,Girona,3207,3783,4978,7671,8073,→
893,Vielha e Mijaran (Viella Mitg Arán),Municipality,Lleida,2874,3109,4029,5470,5674,→
894,Vilabella,Municipality,Tarragona,825,844,787,831,705,→
895,Vilabertran,Municipality,Girona,886,794,783,906,969,→
896,Vilablareix,Municipality,Girona,803,1020,2034,2430,3225,→
897,Vilada,Municipality,Barcelona,602,546,530,491,424,→
898,Viladamat,Municipality,Girona,377,381,385,445,471,→
899,Viladasens,Municipality,Girona,190,189,178,212,214,→
900,Viladecans,Municipality,Barcelona,43358,48294,56841,64999,66707,→
901,Viladecavalls (Viladecaballs),Municipality,Barcelona,1549,3399,6383,7418,7621,→
902,Vilademuls,Municipality,Girona,824,755,723,772,835,→
